,Production of crude steel,Production of primary steel,Production of recycled steel,Production of non metallic minerals,Production of cement,Production of glass,Production of ammonia,Production of high value chemicals , - Industrial production index of crude steel, - Industrial production index of primary steel, - Industrial production index of recycled steel,Industrial production index of non metallic minerals, - Industrial production index of cement, - Industrial production index of glass,Industrial production index of ammonia,Industrial production index of high value chemicals,Production of paper,Production of pulp,Industrial production index of paper and printing industry,Share of recycled plastics,Share of recycled steel,Share of recycled non-ferrous metals,Share of recycled glass,Share of recycled pulp,Unit consumption of steel industry, - Unit consumption of primary steel, - Unit consumption of recycled steel,Unit consumption of non metallic minerals, - Unit consumption of cement, - Unit consumption of glass industry,Unit consumption of ammonia,Unit consumption of high value chemicals,Unit consumption of pulp and paper,Total FEC of industry (excl. consumption of the energy sector),Total Final Energy Consumption of the steel industry,Total Final Energy Consumption of the primary steel industry,Total Final Energy Consumption of the recycled steel industry,Total Final energy consumption of the non metallic minerals industry,Total Final Energy Consumption of the cement industry,Total Final Energy Consumptionof the glass industry,Total Final Energy Consumption of the chemical industry,Total Final Energy Consumption of the ammonia industry,Total Final Energy Consumption of the high value chemicals industry,Total Final Energy Consumption of the other chemical industries,Total Final energy consumption of the non-ferrous metals industry,"Total Final Energy Consumption of the paper, pulp and printing industry","Total Final Energy Consumption of the Food, beverage and tobacco industry",Total Final Energy Consumption of other industries (miscellaneous industries),Total Final energy consumption from solid fossil fuels (coal ...) in industry,Total Final energy consumption from solid biomass in industry,Total Final oil consumption in industry,Total Final energy consumption from gas grid / gas consumed locally in industry,Total Final electricity consumption in industry,Total Final heat consumption in industry,Total Final hydrogen consumption in industry,Total Final non-renewable waste consumption in industry,Total Final energy consumption from ambient heat (heat pumps…) in industry,Total Final energy consumption from thermal solar in industry,Total non-energy consumption for the feedstock production (including chemicals and oxygen steel),Non-energy consumption of solid fossil fuels (coal...) for the feedstock production,Non-energy consumption of solid biomass for the feedstock production,Non-energy consumption of gas for the feedstock production,Non-energy consumption of oil for the feedstock production,Non-energy consumption of hydrogen for the feedstock production,GHG emissions from non-energy sources in industry,GHG emissions from non-energy sources in the steel industry,GHG emissions from non-energy sources in the non-metallic minerals industry,GHG emissions from non-energy sources in the cement industry,GHG emissions from non-energy sources in the chemicals industry,GHG emissions from non-energy sources in the non-ferrous metals industry,Ratio of reffinery oil consumption vs. total primary oil consumption,Ratio of reffinery gas consumption vs. total primary oil consumption,Final energy consumption from solid fossil fuels (coal...) in the Energy sector,Final energy consumption from solid biomass in the Energy sector,Final oil consumption in the Energy sector,Final energy consumption from gas in the Energy sector,Final electricity consumption in the Energy sector,Final heat consumption in the Energy sector,other_chemicals_total,Industrial production index of crude steel,Industrial production index of primary steel,Industrial production index of recycled steel,Industrial production index of cement,Industrial production index of glass,Unit consumption of primary steel,Unit consumption of recycled steel,Unit consumption of cement,Unit consumption of glass industry
FR,14449.7,10061.7,4388.0,0.0,16710.0,0.0,0.0,0.0,96.4341964762413,102.409160305344,85.0552432641985,0.0,107.13598768994,0.0,0.0,0.0,7322.7,0.0,91.6999561705591,0.0,0.303674124722313,0.0,0.0,0.0,3605.63887139525,0.0,0.0,0.0,801.855176540993,0.0,0.0,0.0,3252.39324292952,0.0,52.1004,0.0,0.0,0.0,13.399,0.0,75.8526,0.0,0.0,0.0,11.9581,23.8163,56.8244,0.0,31.3604,16.593,31.7907,122.1162,115.4999,18.8605,0.0,0.0,0.0,0.0,0.0,8.97172921623302,0.0,10.492943,60.808501,0.0,28.7425326528366,0.0,0.0,0.0,0.0,0.0,0.0743021581538008,0.0312802568847026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
DE,39600.0,27700.0,11900.0,0.0,34900.0,6602.7,0.0,0.0,92.7922017058768,92.1674319558129,94.2798288702266,0.0,112.002567394095,102.607655130616,0.0,0.0,22080.0,0.0,97.690469869923,0.0,0.30050505050505,0.0,0.0,0.0,3991.04545454545,0.0,0.0,0.0,778.52435530086,2696.59381768065,0.0,0.0,2805.80163043478,0.0,158.0454,0.0,0.0,0.0,27.1705,17.8048,165.732,0.0,0.0,0.0,27.406,61.9521,58.4111,0.0,111.9787,53.7261,27.2659,247.9789,222.2224,48.6905,0.0,0.0,0.0,0.0,0.0,24.6992952771057,0.0,22.92626,132.86182,0.0,60.8550522806199,0.0,0.0,0.0,0.0,0.0,0.0743021581538008,0.0312802568847026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GB,7218.0,7218.0,1600.0,0.0,9079.0,0.0,0.0,0.0,66.1776840561108,79.748094133245,86.2068965517241,0.0,98.3107742284786,0.0,0.0,0.0,3850.0,0.0,96.9797727902466,0.0,0.221668052091992,0.0,0.0,0.0,4033.44416735938,0.0,0.0,0.0,1017.733230532,0.0,0.0,0.0,5212.15584415585,0.0,29.1134,0.0,0.0,0.0,9.24,5.8773,38.4696,0.0,0.0,0.0,6.8839,20.0668,32.2783,0.0,12.5466,14.7834,25.4028,91.5731,91.6006,7.8229,0.0,0.0,0.0,0.0,0.0,6.43608351300178,0.0,5.321628,30.839796,0.0,20.8357196268887,0.0,0.0,0.0,0.0,0.0,0.0743021581538008,0.0312802568847026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
IT,23191.0,4211.0,18980.0,0.0,19240.645,8296.806,0.0,0.0,105.32745935144,87.8939678563974,110.175886689499,0.0,92.3902693451008,109.361638409307,0.0,0.0,8901.0,0.0,99.3969849246231,0.0,0.818420939157432,0.0,0.0,0.0,2230.14962701048,0.0,0.0,0.0,607.817461420862,0.0,0.0,0.0,2688.16986855409,0.0,51.7194,0.0,0.0,0.0,11.6948,0.0,40.6506,0.0,0.0,0.0,7.7146,23.9274,32.4139,0.0,16.5449,8.2224,20.4166,100.5809,119.5132,34.2135,0.0,0.0,0.0,0.0,0.0,3.75482788490586,0.0,5.623333,32.588231,0.0,25.6026598540691,0.0,0.0,0.0,0.0,0.0,0.0743021581538008,0.0312802568847026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
ES,13588.0,4239.456,9348.544,0.0,17463.9855,4001.0,0.0,0.0,91.2803976891039,89.8406437823357,91.9486290045439,0.0,85.6073037365148,104.437483685722,0.0,0.0,6436.6,0.0,103.896565082645,0.0,0.688,0.0,0.0,0.0,2192.88342655284,0.0,0.0,0.0,1165.22084835675,0.0,0.0,0.0,3072.89562812665,0.0,29.7969,0.0,0.0,0.0,20.3494,0.0,41.7765,0.0,0.0,0.0,14.5024,19.779,27.5308,0.0,9.8992,18.4767,33.8291,98.691,75.9117,0.0,0.0,0.0,0.0,0.0,0.0,3.78020128369305,0.0,5.7790825,33.4908275,0.0,20.2439950170821,0.0,0.0,0.0,0.0,0.0,0.0743021581538008,0.0312802568847026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
PL,8844.0,4918.0,3926.0,0.0,17934.392,27.275,0.0,0.0,96.7297385978344,92.2355588897224,103.017580687484,0.0,127.483593972135,545.5,0.0,0.0,3798.836,0.0,122.149067524116,0.0,0.443916779737675,0.0,0.0,0.0,3508.05065581185,0.0,0.0,0.0,1015.53484500618,313235.563703025,0.0,0.0,5758.07958016614,0.0,31.0252,0.0,0.0,0.0,18.213,8.5435,35.9227,0.0,0.0,0.0,6.3747,21.874,26.0214,0.0,45.5228,31.2403,10.5302,50.7198,63.3846,10.0871,0.0,0.0,0.0,0.0,0.0,4.38523950082332,0.0,4.96930683333333,28.7980311666667,0.0,18.0792308261564,0.0,0.0,0.0,0.0,0.0,0.0743021581538008,0.0312802568847026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
SE,4723.0,3148.6667,1574.3333,0.0,2856.0,0.0,0.0,0.0,108.127289377289,108.127290521978,108.127287087912,0.0,103.403330919623,0.0,0.0,0.0,10235.0,0.0,103.698074974671,0.0,0.333333326275672,0.0,0.0,0.0,3850.03175947491,0.0,0.0,0.0,988.200280112045,0.0,0.0,0.0,7198.0947728383,0.0,18.1837,0.0,0.0,0.0,2.8223,0.6635,10.8828,0.0,0.0,0.0,3.8013,73.6725,4.6169,0.0,17.1022,58.7038,10.637,5.6993,48.6392,3.6215,0.0,0.0,0.0,0.0,0.0,2.80757576001769,0.0,1.505454,8.724378,0.0,12.3445937227171,0.0,0.0,0.0,0.0,0.0,0.0743021581538008,0.0312802568847026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
NL,6657.0,6657.0,0.0,0.0,2300.0,0.0,0.0,0.0,95.167977126519,96.6463414634146,0.0,0.0,101.769911504425,0.0,0.0,0.0,2895.0,0.0,109.534619750284,0.0,0.0,0.0,0.0,0.0,4266.62160132192,0.0,0.0,0.0,858.466671586471,0.0,0.0,0.0,2122.79792746114,0.0,28.4029,0.0,0.0,0.0,1.97447334464888,0.0,82.3281,0.0,0.0,0.0,3.5203,6.1455,23.2693,0.0,18.2669,2.1104,35.0675,63.799,35.707,17.8533,0.0,0.0,0.0,0.0,0.0,5.93585590829216,0.0,11.3887205,65.9996935,0.0,14.7725043053194,0.0,0.0,0.0,0.0,0.0,0.0743021581538008,0.0312802568847026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
BE,7760.0,5664.8,2095.2,0.0,6773.0,1000.0,1050.0,5580.0,106.931238803913,117.795799542524,85.5882352941176,0.0,107.93625498008,100.0,100.0,100.0,1765.0,0.0,83.1370701837023,0.0,0.27,0.0,0.0,0.0,3954.28176461792,0.0,0.0,0.0,904.114454072777,4300.0,5085.71428571429,5376.34408602151,4275.6308021427,138.6691,30.685226493435,0.0,0.0,0.0,6.12356719743492,4.3,49.388,5.34,30.0,14.048,3.47478833294365,7.54648836578185,18.4746558801287,18.6763737302758,21.5999509247638,9.47913987158949,14.5075106202403,49.9078580108875,37.9001557018989,5.27448487062,0.0,0.0,0.0,0.0,0.0,5.05113963486457,0.0,6.42011916666667,37.2057508333333,0.0,11.8326197750326,0.0,0.0,0.0,0.0,0.0,0.0743021581538008,0.0312802568847026,0.0,0.0,0.0,0.0,1.5178,0.122167,44.048,,,,,,,,,
FI,3473.0,2320.0,1155.0,0.0,1430.0,0.0,0.0,0.0,87.0426065162907,88.3809523809524,84.6153846153846,0.0,120.37037037037,0.0,0.0,0.0,9650.0,0.0,89.8092135877152,0.0,0.332565505326807,0.0,0.0,0.0,3881.83126979557,0.0,0.0,0.0,858.466671586472,0.0,0.0,0.0,7885.73056994819,0.0,13.4816,0.0,0.0,0.0,1.22760734036865,0.0,11.4133,0.0,0.0,0.0,2.8975,76.0973,4.737,0.0,6.8662,49.8714,11.7243,9.7922,38.883,14.4063,0.0,0.0,0.0,0.0,0.0,2.06867743837131,0.0,1.57883983333333,9.14966216666667,0.0,11.2452552609399,0.0,0.0,0.0,0.0,0.0,0.0743021581538008,0.0312802568847026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
