,Production of crude steel,Production of primary steel,Production of recycled steel,Production of non metallic minerals,Production of cement,Production of glass,Production of ammonia,Production of high value chemicals , - Industrial production index of crude steel, - Industrial production index of primary steel, - Industrial production index of recycled steel,Industrial production index of non metallic minerals, - Industrial production index of cement, - Industrial production index of glass,Industrial production index of ammonia,Industrial production index of high value chemicals,Production of paper,Production of pulp,Industrial production index of paper and printing industry,Share of recycled plastics,Share of recycled steel,Share of recycled non-ferrous metals,Share of recycled glass,Share of recycled pulp,Unit consumption of steel industry, - Unit consumption of primary steel, - Unit consumption of recycled steel,Unit consumption of non metallic minerals, - Unit consumption of cement, - Unit consumption of glass industry,Unit consumption of ammonia,Unit consumption of high value chemicals,Unit consumption of pulp and paper,Total FEC of industry (excl. consumption of the energy sector),Total Final Energy Consumption of the steel industry,Total Final Energy Consumption of the primary steel industry,Total Final Energy Consumption of the recycled steel industry,Total Final energy consumption of the non metallic minerals industry,Total Final Energy Consumption of the cement industry,Total Final Energy Consumptionof the glass industry,Total Final Energy Consumption of the chemical industry,Total Final Energy Consumption of the ammonia industry,Total Final Energy Consumption of the high value chemicals industry,Total Final Energy Consumption of the other chemical industries,Total Final energy consumption of the non-ferrous metals industry,"Total Final Energy Consumption of the paper, pulp and printing industry","Total Final Energy Consumption of the Food, beverage and tobacco industry",Total Final Energy Consumption of other industries (miscellaneous industries),Total Final energy consumption from solid fossil fuels (coal ...) in industry,Total Final energy consumption from solid biomass in industry,Total Final oil consumption in industry,Total Final energy consumption from gas grid / gas consumed locally in industry,Total Final electricity consumption in industry,Total Final heat consumption in industry,Total Final hydrogen consumption in industry,Total Final non-renewable waste consumption in industry,Total Final energy consumption from ambient heat (heat pumps…) in industry,Total Final energy consumption from thermal solar in industry,Total non-energy consumption for the feedstock production (including chemicals and oxygen steel),Non-energy consumption of solid fossil fuels (coal...) for the feedstock production,Non-energy consumption of solid biomass for the feedstock production,Non-energy consumption of gas for the feedstock production,Non-energy consumption of oil for the feedstock production,Non-energy consumption of hydrogen for the feedstock production,GHG emissions from non-energy sources in industry,GHG emissions from non-energy sources in the steel industry,GHG emissions from non-energy sources in the non-metallic minerals industry,GHG emissions from non-energy sources in the cement industry,GHG emissions from non-energy sources in the chemicals industry,GHG emissions from non-energy sources in the non-ferrous metals industry,Ratio of reffinery oil consumption vs. total primary oil consumption,Ratio of reffinery gas consumption vs. total primary oil consumption,Final energy consumption from solid fossil fuels (coal...) in the Energy sector,Final energy consumption from solid biomass in the Energy sector,Final oil consumption in the Energy sector,Final energy consumption from gas in the Energy sector,Final electricity consumption in the Energy sector,Final heat consumption in the Energy sector,other_chemicals_total,Industrial production index of crude steel,Industrial production index of primary steel,Industrial production index of recycled steel,Industrial production index of cement,Industrial production index of glass,Unit consumption of primary steel,Unit consumption of recycled steel,Unit consumption of cement,Unit consumption of glass industry
FR,12586.56,4848.06,7738.5,0.0,9826.11,2718.80874,0.0,0.0,84.0,49.3441221374046,150.0,0.0,63.0,60.0,0.0,0.0,6707.82,0.0,84.0,0.0,0.61482247730913,0.0,0.0,0.0,2195.8655565937,4068.0,1023.0,0.0,779.055,1405.0,0.0,0.0,2817.6125,0.0,27.63839358,0.0,0.0,0.0,7.65508012605,0.0,56.5365,0.0,0.0,0.0,10.94288,18.90003747975,36.438912,0.0,0.0,22.5790573201291,0.0,32.2656191741449,157.532140673766,0.0,10.29483601776,0.0,0.0,0.0,0.0,0.0,0.0,1.72067608695652,11.7989217391304,47.1956869565217,8.49351046112428,0.0,0.0,0.0,0.0,0.0,0.0,0.105582415038503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
DE,35847.84,16914.84,18933.0,0.0,19630.8,3860.94,0.0,0.0,84.0,56.2814933120383,150.0,0.0,63.0,60.0,0.0,0.0,18985.68,0.0,84.0,0.0,0.528148976339997,0.0,0.0,0.0,2459.78636704471,4068.0,1023.0,0.0,779.055,1405.0,0.0,0.0,2817.6125,0.0,88.17802812,0.0,0.0,0.0,15.293472894,11.629605,122.134575,0.0,0.0,0.0,22.38272,53.494289289,37.031168,0.0,0.0,67.3349476603873,0.0,67.2938047955354,328.552105766437,0.0,35.91859508064,0.0,0.0,0.0,0.0,0.0,0.0,3.71713923913044,25.4889547826087,101.955819130435,19.0374767830608,0.0,0.0,0.0,0.0,0.0,0.0,0.105582415038503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GB,9161.88,6377.88,2784.0,0.0,5818.05,0.0,0.0,0.0,84.0,70.4660258534968,150.0,0.0,63.0,0.0,0.0,0.0,3334.716,0.0,84.0,0.0,0.303867765131174,0.0,0.0,0.0,3142.72265517558,4068.0,1023.0,0.0,779.055,1405.0,0.0,0.0,2817.6125,0.0,28.79324784,0.0,0.0,0.0,4.53258094275,3.22543,27.617625,0.0,0.0,0.0,5.9948,9.39593748555,18.563328,0.0,0.0,14.5925482818882,0.0,26.0603783640484,127.235964953883,0.0,13.54340266848,0.0,0.0,0.0,0.0,0.0,0.0,0.840536413043478,5.76367826086957,23.0547130434783,6.92049062961668,0.0,0.0,0.0,0.0,0.0,0.0,0.105582415038503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
IT,18495.12,2774.268,15720.852,0.0,13120.00326,4551.9468,0.0,0.0,84.0,57.9058234189105,91.257049979683,0.0,63.0,60.0,0.0,0.0,7522.2,0.0,84.0,0.0,0.85,0.0,0.0,0.0,1479.75,4068.0,1023.0,0.0,730.393343667508,1405.0,0.0,0.0,2817.6125,0.0,27.36815382,0.0,0.0,0.0,9.58276305,0.0,28.709325,0.0,0.0,0.0,5.80968,21.1946447475,20.15072,0.0,0.0,10.2805080409556,0.0,32.6385051178548,159.352701457762,0.0,5.891147000928,0.0,0.0,0.0,0.0,0.0,0.0,0.873762065217391,5.99151130434783,23.9660452173913,7.94009213777442,0.0,0.0,0.0,0.0,0.0,0.0,0.105582415038503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
ES,12504.24,1875.636,10628.604,0.0,12852.070308,2298.6,0.0,0.0,84.0,39.7476340694006,104.538799414348,0.0,63.0,60.0,0.0,0.0,5203.968,0.0,84.0,0.0,0.85,0.0,0.0,0.0,1479.75,4068.0,1023.0,0.0,779.055,1405.0,0.0,0.0,2817.6125,0.0,18.50314914,0.0,0.0,0.0,10.0124696337989,0.0,24.796125,0.0,0.0,0.0,10.12208,14.6627652864,16.879232,0.0,0.0,20.3486986662414,0.0,21.1877191145853,103.445922735916,0.0,3.982905543456,0.0,0.0,0.0,0.0,0.0,0.0,0.754664673913044,5.17484347826087,20.6993739130435,5.68207878126509,0.0,0.0,0.0,0.0,0.0,0.0,0.105582415038503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
PL,7680.12,1963.62,5716.5,0.0,8862.84,3.0,0.0,0.0,84.0,36.8270817704426,150.0,0.0,63.0,60.0,0.0,0.0,2612.4,0.0,84.0,0.0,0.744324307432696,0.0,0.0,0.0,1801.53248386744,4068.0,1023.0,0.0,779.055,1405.0,0.0,0.0,4705.80064308682,0.0,13.83598566,0.0,0.0,0.0,6.9046398162,4.802135,22.65735,0.0,0.0,0.0,4.00256,12.2934336,13.936448,0.0,0.0,18.5984887716435,0.0,14.8799931030534,81.2332959859831,0.0,4.16973921552,0.0,0.0,0.0,0.0,0.0,0.0,0.689571521739131,4.72849043478261,18.9139617391304,4.53457543640953,0.0,0.0,0.0,0.0,0.0,0.0,0.105582415038503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
SE,3669.12,1485.12,2184.0,0.0,1740.06,0.0,0.0,0.0,84.0,51.0,150.0,0.0,63.0,0.0,0.0,0.0,8290.8,0.0,84.0,0.0,0.595238095238095,0.0,0.0,0.0,2255.5,4068.0,1023.0,0.0,779.055,1405.0,0.0,0.0,5977.44275582574,0.0,8.27570016,0.0,0.0,0.0,1.3556024433,0.39052,7.932075,0.0,0.0,0.0,2.9788,49.5577824,3.061696,0.0,0.0,72.448312229459,0.0,3.35528530703457,16.3816870872864,0.0,3.15364637952,0.0,0.0,0.0,0.0,0.0,0.0,0.24141097826087,1.65538956521739,6.62155826086957,3.63657518253237,0.0,0.0,0.0,0.0,0.0,0.0,0.105582415038503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
NL,5875.8,5715.3,160.5,0.0,1423.8,0.0,0.0,0.0,84.0,82.9747386759582,150.0,0.0,63.0,0.0,0.0,0.0,2220.12,0.0,84.0,0.0,0.0273154293883386,0.0,0.0,0.0,3984.82451751251,4068.0,1023.0,0.0,779.055,1405.0,0.0,0.0,2534.6273174423,0.0,23.4140319,0.0,0.0,0.0,1.109218509,0.0,60.5745,0.0,0.0,0.0,2.51152,5.6271768,14.170368,0.0,0.0,2.36348897394,0.0,19.133782231968,93.4178779560788,0.0,12.1364166888,0.0,0.0,0.0,0.0,0.0,0.0,1.84357173913044,12.6416347826087,50.5665391304348,4.84621094879757,0.0,0.0,0.0,0.0,0.0,0.0,0.105582415038503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
BE,6168.45,2899.1715,3269.2785,0.0,4706.25,850.0,735.0,5022.0,85.0,60.2863693075483,133.548958333333,0.0,75.0,85.0,70.0,90.0,1804.55,0.0,85.0,0.0,0.53,0.0,0.0,0.0,2300.0,0.0,0.0,0.0,650.0,1400.0,2000.0,4400.0,2500.0,82.1920803601781,14.187435,0.0,0.0,0.0,3.0590625,1.19,34.66472,1.47,22.0968,11.09792,2.25861241641337,4.511375,8.31359514605793,14.0072802977068,0.0,5.75344562521247,0.0,7.39728723241603,59.1782978593283,2.46576241080534,7.39728723241603,0.0,0.0,0.0,0.0,0.0,0.0,1.14017217391304,10.5,40.5,3.13510626239541,0.0,0.0,0.0,0.0,0.0,0.0,0.105582415038503,0.0,0.0,0.0,0.0,0.0,0.0,33.194720000000004,,,,,,,,,
FI,3351.6,1304.1,2047.5,0.0,748.44,0.0,0.0,0.0,84.0,49.68,150.0,0.0,63.0,0.0,0.0,0.0,9025.8,0.0,84.0,0.0,0.610902255639098,0.0,0.0,0.0,2207.80263157895,4068.0,1023.0,0.0,779.055,1405.0,0.0,0.0,5096.02605863192,0.0,7.3996713,0.0,0.0,0.0,0.5830759242,0.0,8.58255,0.0,0.0,0.0,2.34888,45.995712,2.911808,0.0,0.0,51.997509979326,0.0,4.94592588387909,24.1477557859979,0.0,2.7692511336,0.0,0.0,0.0,0.0,0.0,0.0,0.261208043478261,1.79114086956522,7.16456347826087,3.19874370113885,0.0,0.0,0.0,0.0,0.0,0.0,0.105582415038503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
CZ,4415.36508,3919.42908,495.936,0.0,2417.80959,0.0,0.0,0.0,84.0,79.5699890555027,150.0,0.0,63.0,0.0,0.0,0.0,566.84628,0.0,84.0,0.0,0.112320496949711,0.0,0.0,0.0,3725.98408678813,4068.0,1023.0,0.0,779.055,1405.0,0.0,0.0,8390.06723304244,0.0,16.45158002544,0.0,0.0,0.0,1.88360665013745,0.0,8.125575,0.0,0.0,0.0,0.66648,4.7558784,4.344576,0.0,0.0,7.43080057970299,0.0,7.84793817844304,38.3164040476925,0.0,8.32289197366368,0.0,0.0,0.0,0.0,0.0,0.0,0.247300108695652,1.69577217391304,6.78308869565217,2.36178008564539,0.0,0.0,0.0,0.0,0.0,0.0,0.105582415038503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
DK,0.0,0.0,0.0,0.0,1919.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,140.28,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,4068.0,1023.0,0.0,779.055,1405.0,0.0,0.0,2817.6125,0.0,0.0,0.0,0.0,0.0,1.49548176855,0.0,2.288925,0.0,0.0,0.0,0.0,0.3952546815,4.25664,0.0,0.0,3.79746968385739,0.0,2.20681490122139,10.7744492236103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0696629347826087,0.477688695652174,1.9107547826087,0.640002214424699,0.0,0.0,0.0,0.0,0.0,0.0,0.105582415038503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
PT,1705.2,0.0,1705.2,0.0,3529.848042,0.0,0.0,0.0,84.0,0.0,84.0,0.0,63.0,0.0,0.0,0.0,1763.748,0.0,84.0,0.0,1.0,0.0,0.0,0.0,927.864532019704,4068.0,1023.0,0.0,779.055,1405.0,0.0,0.0,6032.595132638,0.0,1.5821946,0.0,0.0,0.0,2.74994576636031,1.920555,3.54825,0.0,0.0,0.0,0.4516,10.6399776,3.41376,0.0,0.0,3.06849789858915,0.0,5.5744538615211,27.2164512062501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.107990217391304,0.740504347826087,2.96201739130435,1.36780865398396,0.0,0.0,0.0,0.0,0.0,0.0,0.105582415038503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
RO,2875.32,1078.32,1797.0,0.0,5264.28,0.0,0.0,0.0,84.0,48.4638202247191,150.0,0.0,63.0,0.0,0.0,0.0,397.32,0.0,84.0,0.0,0.624973915946747,0.0,0.0,0.0,2164.95442594216,4068.0,1023.0,0.0,779.055,1405.0,0.0,0.0,2817.6125,0.0,6.22493676,0.0,0.0,0.0,4.1011636554,0.0,10.86645,0.0,0.0,0.0,2.764,1.1194937985,4.203776,0.0,0.0,3.12186003445327,0.0,6.18721688831532,30.208176572363,0.0,2.28980820672,0.0,0.0,0.0,0.0,0.0,0.0,0.330718043478261,2.26778086956522,9.07112347826087,1.59467409000307,0.0,0.0,0.0,0.0,0.0,0.0,0.105582415038503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
AT,6457.08,5456.58,1000.5,0.0,2905.4403,318.0156,0.0,0.0,,,,0.0,,,0.0,0.0,4170.1968,0.0,84.0,0.0,0.154946198591314,0.0,0.0,0.0,3596.18882528945,,,0.0,,,0.0,0.0,2817.6125,0.0,23.22087894,0.0,0.0,0.0,2.2634977929165,0.0,8.677725,0.0,0.0,0.0,1.91384,11.74999863114,4.09664,0.0,0.0,21.8523806733214,0.0,7.26218731079937,35.4565615762557,0.0,11.58702580368,0.0,0.0,0.0,0.0,0.0,0.0,0.264104673913043,1.81100347826087,7.24401391304348,2.90495031599196,0.0,0.0,0.0,0.0,0.0,0.0,0.105582415038503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,77.7290598290598,150.0,63.0,60.0,4068.0,1023.0,779.055,1405.0
