,Production of crude steel,Production of primary steel,Production of recycled steel,Production of non metallic minerals,Production of cement,Production of glass,Production of ammonia,Production of high value chemicals , - Industrial production index of crude steel, - Industrial production index of primary steel, - Industrial production index of recycled steel,Industrial production index of non metallic minerals, - Industrial production index of cement, - Industrial production index of glass,Industrial production index of ammonia,Industrial production index of high value chemicals,Production of paper,Production of pulp,Industrial production index of paper and printing industry,Share of recycled plastics,Share of recycled steel,Share of recycled non-ferrous metals,Share of recycled glass,Share of recycled pulp,Unit consumption of steel industry, - Unit consumption of primary steel, - Unit consumption of recycled steel,Unit consumption of non metallic minerals, - Unit consumption of cement, - Unit consumption of glass industry,Unit consumption of ammonia,Unit consumption of high value chemicals,Unit consumption of pulp and paper,Total FEC of industry (excl. consumption of the energy sector),Total Final Energy Consumption of the steel industry,Total Final Energy Consumption of the primary steel industry,Total Final Energy Consumption of the recycled steel industry,Total Final energy consumption of the non metallic minerals industry,Total Final Energy Consumption of the cement industry,Total Final Energy Consumptionof the glass industry,Total Final Energy Consumption of the chemical industry,Total Final Energy Consumption of the ammonia industry,Total Final Energy Consumption of the high value chemicals industry,Total Final Energy Consumption of the other chemical industries,Total Final energy consumption of the non-ferrous metals industry,"Total Final Energy Consumption of the paper, pulp and printing industry","Total Final Energy Consumption of the Food, beverage and tobacco industry",Total Final Energy Consumption of other industries (miscellaneous industries),Total Final energy consumption from solid fossil fuels (coal ...) in industry,Total Final energy consumption from solid biomass in industry,Total Final oil consumption in industry,Total Final energy consumption from gas grid / gas consumed locally in industry,Total Final electricity consumption in industry,Total Final heat consumption in industry,Total Final hydrogen consumption in industry,Total Final non-renewable waste consumption in industry,Total Final energy consumption from ambient heat (heat pumps…) in industry,Total Final energy consumption from thermal solar in industry,Total non-energy consumption for the feedstock production (including chemicals and oxygen steel),Non-energy consumption of solid fossil fuels (coal...) for the feedstock production,Non-energy consumption of solid biomass for the feedstock production,Non-energy consumption of gas for the feedstock production,Non-energy consumption of oil for the feedstock production,Non-energy consumption of hydrogen for the feedstock production,GHG emissions from non-energy sources in industry,GHG emissions from non-energy sources in the steel industry,GHG emissions from non-energy sources in the non-metallic minerals industry,GHG emissions from non-energy sources in the cement industry,GHG emissions from non-energy sources in the chemicals industry,GHG emissions from non-energy sources in the non-ferrous metals industry,Ratio of reffinery oil consumption vs. total primary oil consumption,Ratio of reffinery gas consumption vs. total primary oil consumption,Final energy consumption from solid fossil fuels (coal...) in the Energy sector,Final energy consumption from solid biomass in the Energy sector,Final oil consumption in the Energy sector,Final energy consumption from gas in the Energy sector,Final electricity consumption in the Energy sector,Final heat consumption in the Energy sector,other_chemicals_total,Industrial production index of crude steel,Industrial production index of primary steel,Industrial production index of recycled steel,Industrial production index of cement,Industrial production index of glass,Unit consumption of primary steel,Unit consumption of recycled steel,Unit consumption of cement,Unit consumption of glass industry
FR,13977.0752,7528.3252,6448.75,0.0,13173.2262,3770.0814528,0.0,0.0,93.28,76.6241750636132,125.0,0.0,84.46,83.2,0.0,0.0,7448.8744,0.0,93.28,0.0,0.461380503984124,0.0,0.0,0.0,3246.32114670013,0.0,0.0,0.0,878.182647348849,0.0,0.0,0.0,3192.99138937762,0.0,45.3740747907779,0.0,0.0,0.0,11.5684986584412,0.0,67.46689,0.0,0.0,0.0,12.5295976,23.7841918197554,48.32710704,0.0,18.189032,19.1071440744542,18.438606,81.0694106211989,138.348498213321,10.93909,0.0,0.0,0.0,0.0,0.0,6.26169199561928,0.0,9.33291978333333,54.0859568166667,0.0,17.6848712931188,0.0,0.0,0.0,0.0,0.0,0.0495347721025339,0.0560476429359695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
DE,39808.1728,24030.6728,15777.5,0.0,26317.736,5353.8368,0.0,0.0,93.28,79.958317694816,125.0,0.0,84.46,83.2,0.0,0.0,21083.1456,0.0,93.28,0.0,0.396338211232845,0.0,0.0,0.0,3183.38575623651,0.0,0.0,0.0,794.034229653402,2202.74137748838,0.0,0.0,2963.84995330059,0.0,126.724770273322,0.0,0.0,0.0,20.8971832309816,15.2616201,145.7472595,0.0,0.0,0.0,25.6282144,62.4872801019896,49.11258656,0.0,64.947646,59.4418160173627,15.814222,171.206397876493,282.578394172437,28.24049,0.0,0.0,0.0,0.0,0.0,19.9875360752357,0.0,20.1617042308333,116.840719699167,0.0,38.4633181169015,0.0,0.0,0.0,0.0,0.0,0.0495347721025339,0.0560476429359695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GB,10174.0496,7854.0496,2320.0,0.0,7799.881,0.0,0.0,0.0,93.28,86.7754900011049,125.0,0.0,84.46,0.0,0.0,0.0,3703.12272,0.0,93.28,0.0,0.228031127349723,0.0,0.0,0.0,3674.92974403888,0.0,0.0,0.0,1095.28387964266,0.0,0.0,0.0,4116.56181333913,0.0,37.3889174923668,0.0,0.0,0.0,8.5430839224311,4.2327566,32.9570325,0.0,0.0,0.0,6.864046,15.2441335792605,24.61961376,0.0,7.277028,14.703242278393,14.733624,67.8014873277128,119.828995147953,4.537282,0.0,0.0,0.0,0.0,0.0,6.53261359027328,0.0,4.5590561625,26.4205543875,0.0,14.1484060239708,0.0,0.0,0.0,0.0,0.0,0.0495347721025339,0.0560476429359695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
IT,20538.3904,4064.4644,16473.926,0.0,17589.1345292,6312.032896,0.0,0.0,93.28,84.8354080567731,95.6285249898415,0.0,84.46,83.2,0.0,0.0,8353.224,0.0,93.28,0.0,0.802104044141648,0.0,0.0,0.0,1973.47496153323,0.0,0.0,0.0,752.689561526831,0.0,0.0,0.0,2970.08223045784,0.0,40.5319992045945,0.0,0.0,0.0,13.23915795642,0.0,34.2597945,0.0,0.0,0.0,6.6520836,24.809762169434,26.7248924,0.0,9.596042,9.08680537720134,11.841628,70.5312248870644,139.099599066183,19.84383,0.0,0.0,0.0,0.0,0.0,3.38062231955117,0.0,4.7392715725,27.4649352575,0.0,16.0719441988964,0.0,0.0,0.0,0.0,0.0,0.0495347721025339,0.0560476429359695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
ES,13885.6608,3487.7898,10397.871,0.0,17229.93425736,3187.392,0.0,0.0,93.28,73.9116719242902,102.269399707174,0.0,84.46,83.2,0.0,0.0,5778.88256,0.0,93.28,0.0,0.748820754716981,0.0,0.0,0.0,1916.87332483783,0.0,0.0,0.0,905.005037122736,0.0,0.0,0.0,3017.31770454545,0.0,26.6170527852663,0.0,0.0,0.0,15.5931772922044,0.0,29.5900425,0.0,0.0,0.0,11.5897816,17.436724660777,22.38608144,0.0,5.741536,19.2629394398214,19.620878,57.0964491330319,85.9184382053944,0.0,0.0,0.0,0.0,0.0,0.0,2.90097264569051,0.0,4.0932892125,23.7213507375,0.0,11.5990522238349,0.0,0.0,0.0,0.0,0.0,0.0495347721025339,0.0560476429359695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
PL,8528.5904,3764.8404,4763.75,0.0,11881.8328,4.16,0.0,0.0,93.28,70.6084096024006,125.0,0.0,84.46,83.2,0.0,0.0,2901.008,0.0,93.28,0.0,0.558562409094005,0.0,0.0,0.0,2702.13491119916,0.0,0.0,0.0,942.680069007677,857586.5,0.0,0.0,5388.14173633441,0.0,23.045401863158,0.0,0.0,0.0,11.2007669638417,6.3018787,27.037771,0.0,0.0,0.0,4.5829312,15.63104228224,18.48321416,0.0,20.48526,25.9307392840903,6.107516,30.8652519085232,64.7414882766263,5.850518,0.0,0.0,0.0,0.0,0.0,3.13140975863583,0.0,3.74022498833333,21.6752797516667,0.0,9.51837956255304,0.0,0.0,0.0,0.0,0.0,0.0495347721025339,0.0560476429359695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
SE,4074.4704,2254.4704,1820.0,0.0,2332.7852,0.0,0.0,0.0,93.28,77.42,125.0,0.0,84.46,0.0,0.0,0.0,9206.736,0.0,93.28,0.0,0.446683819325329,0.0,0.0,0.0,3247.60370752636,0.0,0.0,0.0,892.31461339609,0.0,0.0,0.0,6844.17195542047,0.0,13.2322651772464,0.0,0.0,0.0,2.08157832387412,0.5124824,9.4656095,0.0,0.0,0.0,3.410726,63.01248433216,4.06057432,0.0,9.919276,64.4764951363728,6.16946,5.16535512027347,33.8970628966343,2.10047,0.0,0.0,0.0,0.0,0.0,1.87515800433815,0.0,1.30940931416667,7.58826361583333,0.0,7.52466957680316,0.0,0.0,0.0,0.0,0.0,0.0495347721025339,0.0560476429359695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
NL,6524.936,6391.186,133.75,0.0,1908.796,0.0,0.0,0.0,93.28,92.7872531939605,125.0,0.0,84.46,0.0,0.0,0.0,2465.3904,0.0,93.28,0.0,0.0204982853471666,0.0,0.0,0.0,4001.60358128734,0.0,0.0,0.0,877.766597205693,0.0,0.0,0.0,2612.00015134317,0.0,26.1102072652707,0.0,0.0,0.0,1.67547736967984,0.0,72.28557,0.0,0.0,0.0,2.8756904,6.43960009792,18.79345056,0.0,10.594802,2.2166973690548,20.33915,47.9251863628326,60.1919817268487,10.354914,0.0,0.0,0.0,0.0,0.0,5.31587533156963,0.0,9.99950385,57.94893195,0.0,9.37261630669499,0.0,0.0,0.0,0.0,0.0,0.0495347721025339,0.0560476429359695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
BE,7059.718,4447.92346,2611.79454,0.0,5863.63,934.0,911.4,5334.48,97.2814937301915,92.491650239135,106.690953431373,0.0,93.4443027888446,93.4,86.8,95.6,1782.402,0.0,83.9567593028733,0.0,0.369957346738213,0.0,0.0,0.0,3226.39778818603,0.0,0.0,0.0,792.304094280755,3024.0,3728.0,4946.75268817204,3494.35324919991,113.819211358478,23.4261982363236,0.0,0.0,0.0,4.77518513056356,2.9316,42.9097568,3.6372,26.522592,12.7499648,2.93967092967033,6.21103848483784,14.0037891571376,16.6219726199455,9.92834057910185,7.86268462028025,6.66832563158974,31.9544508770897,53.4785978589687,3.9268117914481,0.0,0.0,0.0,0.0,0.0,3.08523859535633,0.0,6.18427577333333,70.0,0.0,8.00571382947223,0.0,0.0,0.0,0.0,0.0,0.0495347721025339,0.0560476429359695,0.0,0.0,0.0,0.0,0.91068,0.0733002,39.272556800000004,,,,,,,,,
FI,3721.872,2015.622,1706.25,0.0,1003.3848,0.0,0.0,0.0,93.28,76.7856,125.0,0.0,84.46,0.0,0.0,0.0,10022.936,0.0,93.28,0.0,0.458438656675995,0.0,0.0,0.0,3004.69572238608,0.0,0.0,0.0,877.766597205693,0.0,0.0,0.0,5834.94983713355,0.0,11.1830928776685,0.0,0.0,0.0,0.880737661583915,0.0,10.241843,0.0,0.0,0.0,2.6894676,58.4833287808,3.86178536,0.0,3.982396,50.7643661913169,6.800094,6.87946687514604,29.6978479135224,8.355654,0.0,0.0,0.0,0.0,0.0,1.67649560935467,0.0,1.41678828166667,8.21054413833333,0.0,6.58209052389378,0.0,0.0,0.0,0.0,0.0,0.0495347721025339,0.0560476429359695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
